runId,scenario,variant,repeat,tick,side,actor,opponent,action,attack,distance,score,visits,healthDiff,actorCooldown,opponentCooldown,actorHealth,opponentHealth,actorX,actorZ,opponentX,opponentZ,forward,sprint,jump,strafeLeft,strafeRight,back
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,23,left,Alpha,Bravo,advance,false,0.173,29.458,11,0,2,3,16,16,0.124,0.011,-0.049,-0.005,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,23,right,Bravo,Alpha,sprint-advance,false,0.059,-33.132,25,0,2,2,16,16,0.065,0.007,0.124,0.011,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,24,left,Alpha,Bravo,advance,false,0.09,18.545,9,0,1,2,16,16,-0.024,-0.001,0.065,0.007,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,24,right,Bravo,Alpha,sprint-advance,false,0.025,-22.353,14,0,1,1,16,16,0.001,0.002,-0.024,-0.001,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,25,left,Alpha,Bravo,advance,false,0.009,2.001,3,0,0,1,16,16,-0.008,0.004,0.001,0.002,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,25,right,Bravo,Alpha,sprint-advance,false,0.153,-8.359,25,0,0,0,16,16,-0.158,0.034,-0.008,0.004,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,26,left,Alpha,Bravo,close-attack,true,0.162,20.67,2,0,0,0,16,16,0.001,0.004,-0.158,0.034,false,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,26,right,Bravo,Alpha,close-attack,true,0.25,0.509,2,-4,0,10,12,16,-0.245,0.051,0.001,0.004,false,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,27,left,Alpha,Bravo,sprint-advance,false,0.127,20.06,24,0,9,10,12,12,-0.119,0.028,-0.245,0.051,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,27,right,Bravo,Alpha,advance,false,0.078,-0.677,19,0,9,9,12,12,-0.196,0.043,-0.119,0.028,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,28,left,Alpha,Bravo,sprint-advance,false,0.117,18.17,10,0,8,9,12,12,-0.31,0.066,-0.196,0.043,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,28,right,Bravo,Alpha,sprint-advance,false,0.016,-2.334,9,0,8,8,12,12,-0.294,0.063,-0.31,0.066,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,29,left,Alpha,Bravo,sprint-advance,false,0.007,17.13,9,0,7,8,12,12,-0.288,0.067,-0.294,0.063,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,29,right,Bravo,Alpha,sprint-advance,false,0.093,-2.801,5,0,7,7,12,12,-0.245,0.15,-0.288,0.067,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,30,left,Alpha,Bravo,sprint-advance,false,0.041,26.834,33,0,6,7,12,12,-0.217,0.18,-0.245,0.15,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,30,right,Bravo,Alpha,sprint-advance,false,0.14,-2.85,4,0,6,6,12,12,-0.131,0.29,-0.217,0.18,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,31,left,Alpha,Bravo,sprint-advance,false,0.061,27.514,33,0,5,6,12,12,-0.1,0.342,-0.131,0.29,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,31,right,Bravo,Alpha,sprint-advance,false,0.165,-14.573,7,0,5,5,12,12,-0.003,0.476,-0.1,0.342,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,32,left,Alpha,Bravo,sprint-advance,false,0.072,28.255,19,0,4,5,12,12,0.039,0.534,-0.003,0.476,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,32,right,Bravo,Alpha,sprint-advance,false,0.179,-38.832,7,0,4,4,12,12,0.141,0.681,0.039,0.534,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,33,left,Alpha,Bravo,sprint-advance,false,0.078,28.217,19,0,3,4,12,12,0.187,0.744,0.141,0.681,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,33,right,Bravo,Alpha,sprint-advance,false,0.186,-45.279,4,0,3,3,12,12,0.295,0.895,0.187,0.744,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,34,left,Alpha,Bravo,sprint-advance,false,0.081,27.751,18,0,2,3,12,12,0.342,0.961,0.295,0.895,true,true,false,false,false,false
