runId,scenario,variant,repeat,tick,distance,alphaHealth,bravoHealth,attacksThisTick,lastAction
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,32,0.07,12,13,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,33,0.069,12,13,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,34,0.039,12,13,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,35,0.007,12,13,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,36,0.032,12,9,2,close-attack
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,37,0.046,8,9,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,38,0.054,8,9,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,39,0.058,8,9,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,40,0.09,8,9,0,jump-sprint
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,41,0.078,8,9,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,42,0.071,8,9,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,43,0.067,8,9,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,44,0.065,8,9,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,45,0.094,8,9,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,46,0.109,8,9,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,47,0.118,8,5,2,close-attack
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,48,0.152,4,5,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,49,0.17,4,5,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,50,0.18,4,5,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,51,0.186,4,5,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,52,0.189,4,5,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,53,0.161,4,5,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,54,0.175,4,5,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,55,0.183,4,5,0,sprint-advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,56,0.158,4,5,0,advance
